reviewid,genre
21674,jazz
21756,pop/r&b
21768,rock
21768,electronic
21596,rock
21747,rock
21776,rock
21628,electronic
21627,electronic
21576,electronic
21633,rock
21633,metal
21757,rock
21757,electronic
21765,rock
21779,rock
21741,rap
21626,electronic
21777,rock
21777,pop/r&b
21777,folk/country
21790,rap
21763,pop/r&b
21595,rock
21538,
21537,
21593,rock
21789,rap
21551,electronic
21660,folk/country
21710,pop/r&b
21710,electronic
21764,pop/r&b
21754,electronic
21788,rap
21629,rock
21652,electronic
21686,rock
21761,electronic
21740,rap
21535,jazz
21535,experimental
21746,electronic
21656,electronic
21685,metal
21625,electronic
21702,electronic
21641,experimental
21712,rap
21759,rock
21664,rap
21745,folk/country
21737,experimental
21518,jazz
21683,pop/r&b
21738,electronic
21773,rap
21615,pop/r&b
21707,rap
21550,rock
21730,pop/r&b
21684,metal
21727,rock
21647,pop/r&b
21672,rock
21672,metal
21672,experimental
21739,rock
21614,
21617,rap
21591,folk/country
21591,experimental
21646,experimental
21646,electronic
21692,rock
21650,rock
21640,metal
21590,rock
21736,rap
21605,rock
21670,
21753,experimental
21588,rock
21549,rap
21666,rock
21632,experimental
21606,electronic
21509,electronic
21631,metal
21713,rap
21630,rock
21616,experimental
21731,rock
21668,electronic
21711,global
21711,electronic
21658,rock
21612,experimental
21563,electronic
21667,pop/r&b
21644,rock
21642,rock
21691,rock
21586,rock
21555,electronic
21669,electronic
21546,rock
21655,rock
21665,experimental
21706,rap
21443,rock
21651,rock
21659,electronic
21705,rap
21526,rock
21643,rap
21486,rock
21623,rock
21527,experimental
21603,electronic
21415,rock
21648,rock
21624,experimental
21575,jazz
21682,electronic
21569,experimental
21534,experimental
21613,rock
21561,folk/country
21574,rock
21622,folk/country
21512,electronic
21610,metal
21558,rock
21585,electronic
21583,rock
21582,rap
21661,electronic
21663,rock
21573,electronic
21600,rock
21600,rap
21408,rock
21621,global
21621,electronic
21510,rock
21604,rap
21567,rock
21611,electronic
21639,
21504,rap
21609,rock
21453,rock
21572,electronic
21570,experimental
21412,rock
21544,rap
21619,rock
21435,electronic
21657,rap
21548,pop/r&b
21607,
21560,rock
21608,rap
21620,electronic
21439,pop/r&b
21602,rap
21638,rock
21452,rock
21559,electronic
21601,
21470,rock
21466,pop/r&b
21545,rock
21571,electronic
21339,rock
21339,folk/country
21339,metal
21557,pop/r&b
21523,rock
21414,experimental
21467,experimental
21599,rock
21017,experimental
21568,pop/r&b
21495,rock
21508,rock
21580,electronic
21525,rock
21566,rap
21533,electronic
21564,rock
21333,rock
21333,experimental
21398,global
21398,electronic
21465,rock
21556,global
21581,rap
21542,rap
21543,folk/country
21494,electronic
21419,experimental
21524,rock
21565,rap
21598,rap
21492,rock
21531,rock
21493,electronic
21578,rap
21522,rock
21532,rap
21468,pop/r&b
21577,folk/country
21410,rock
21507,rock
21554,rap
21529,metal
21413,
21579,rap
21511,rock
21530,electronic
21463,jazz
21521,pop/r&b
21514,rock
21520,rap
21485,rock
21515,global
21515,folk/country
21516,electronic
21553,electronic
21409,electronic
21482,rock
21451,rock
21539,electronic
21287,rap
21513,rock
21513,electronic
21552,electronic
21464,electronic
21484,rock
21499,
21502,pop/r&b
21541,rap
21469,pop/r&b
21528,rap
21462,rock
21506,pop/r&b
21483,rock
21498,metal
21519,electronic
21540,pop/r&b
21472,rock
21517,rap
21459,pop/r&b
21437,electronic
21480,rap
21471,rock
21450,electronic
21382,rock
21456,metal
21456,experimental
21481,pop/r&b
21461,folk/country
21479,rock
21433,rock
21489,rock
21384,rock
21449,rock
21335,experimental
21383,rock
21396,
21460,pop/r&b
21310,rock
21407,experimental
21381,
21444,rock
21497,rock
21441,rock
21473,folk/country
21445,rock
21438,rock
21487,rock
21476,rock
21478,rock
21477,rock
21488,rock
21496,rap
21442,pop/r&b
21448,rap
21457,rap
21440,rap
21475,pop/r&b
21380,rock
