reviewid,label
21029,rough trade
21079,eerie organization
21050,dfa
21145,mass appeal
21140,warp
21122,atlantic
21019,suicide squeeze
21048,fastcut
21022,anti-
21166,epic
21066,parlophone
21094,top dawg entertainment
20975,bella union
21043,300 entertainment
21107,age 101
21077,dais records
20914,nuclear blast
21065,anti-
21035,third man
20950,i u she
20995,drag city
21068,hospital productions
20854,new amsterdam
21104,glassnote
21104,virgin emi
20893,epic
21037,epitaph
21129,stroboscopic artefacts
21049,bbmg
21034,island
21101,pax-am
21030,palto flats
20998,rpm msc
21076,self-released
21099,self-released
21075,grand hustle
21009,graveface
21059,self-released
21069,rough trade
21102,cash money
21102,epic
20978,4ad
21014,ninja tune
20892,dischord
20892,desoto
21073,sacred bones
20840,matador
21036,mute
20949,mexican summer
21072,dropping gems
21031,western vinyl
21033,interscope
21064,nonesuch
20987,deutsche grammophon
21084,critical
20954,self-released
20825,domino
20960,dogfood
20960,!k7
21074,def jam
21046,don giovanni
20994,iron lung
21047,fat possum
20890,ogm
21015,kompakt
21024,drag city
