reviewid,artist
21287,kevin gates
21513,junior boys
21552,djds
21464,black moth super rainbow
21484,freakwater
21499,various artists
21502,charlie puth
21541,2 chainz
21469,king
21528,chester watson
21462,diiv
21506,majid jordan
21483,field music
21498,black tusk
21519,a pleasure
21540,rihanna
21472,lucinda williams
21517,saul williams
21459,lion babe
21437,african head charge
21480,migos
21471,sunflower bean
21450,surgeon
21382,benji hughes
21456,ulver
21481,sia
21461,lee hazlewood
21479,money
21433,conrad keely
21489,basement
21384,bloc party
21449,nevermen
21335,roly porter
21383,cian nugent
21396,various artists
21460,wet
21310,tindersticks
21407,this heat
21381,various artists
21444,charlie hilton
21497,majical cloudz
21441,shearwater
21473,bonnie prince billy
21445,florist
21438,pop. 1280
21487,david bowie
21476,david bowie
21478,david bowie
21477,david bowie
21488,david bowie
21496,future
21442,adrian younge
21448,little simz
21457,tory lanez
21440,snoop dogg
21440,daz dillinger
21475,chairlift
21380,eleanor friedberger
21417,suede
21400,number girl
21458,the high llamas
21434,ty segall
21406,tortoise
21490,allan kingdom
21436,fat white family
21455,daughter
21428,savages
21345,albert ayler
21454,the besnard lakes
21420,lucrecia dalt
21431,dust
21402,kelela
21403,timbaland
21422,krallice
21430,mila j
21432,bloodiest
21397,busta rhymes
21423,7 year bitch
21426,lil bibby
21347,lycus
21429,petal
21394,various artists
21388,wall
21421,richie hawtin
21395,witchcraft
21446,cozz
21392,lil b
21391,fingers inc.
21418,villagers
21425,paper days
21393,guy blakeslee
21387,anderson .paak
21399,julia brown
21405,mood ii swing
21447,coldair
21389,dylan leblanc
21353,prince
21378,jimi tents
21386,lil durk
21330,craw
21404,young marco
21332,david bowie
21355,chief keef
21370,willow
21424,boosie badazz
21385,mikael tariverdiev
21351,kid cudi
21377,kyle hall
21416,various artists
21368,odd nosdam
21350,ches smith
21369,ennio morricone
21343,hinds
21341,august alsina
21348,the soft pink truth
21338,gag
21337,pusha t
21328,primal scream
21349,aesop rock
21349,homeboy sandman
21331,teenage jesus & the jerks
21352,various artists
21326,archy marshall
21329,wiki
20947,harmonia
21342,the spook school
21296,various artists
21179,baroness
21344,rick ross
21312,lizzo
21308,pimp c
21325,g-eazy
21340,jeremih
21336,ema
21324,gum
21256,bing & ruth
21327,deantoni parks
21305,various artists
21317,the velvet underground
21309,jennylee
21297,nadia reid
21313,stephan mathieu
21306,bruce springsteen
21289,cass mccombs
21307,cassie ramone
21283,laddio bolocko
21280,various artists
21321,coldplay
21292,ilovemakonnen
21265,underworld
21318,zora jones
21322,lubomyr melnyk
21286,sunn o)))
21235,pope francis
21228,babyface
21263,magic circle
20996,diggs duke
21212,sophie
21302,jlin
21259,swans
21281,jadakiss
21293,junglepussy
21319,erykah badu
21209,goldlink
21294,danny l harle
21269,gloria ann taylor
21304,the blue jean committee
21295,ty segall
21315,foo fighters
21245,beat happening
21320,muja messiah
21320,i self devine
21288,paranoid london
21158,john coltrane
21301,parquet courts
21270,doug hream blunt
21250,punch brothers
21208,wrekmeister harmonies
21279,the flaming lips
21169,dj paypal
21299,andr bratten
21201,the body
21201,krieg
21134,horrendous
21246,adele
21275,natalie prass
21240,kneebody and daedelus
21258,joey anderson
21242,dragged into sunlight / gnaw their tongues
21164,jeezy
21274,freddie gibbs
21300,jaala
21237,enya
21233,en
21213,shye ben tzur / jonny greenwood / the rajasthan express
21189,six organs of admittance
21277,lotic
21159,andrew hung
21239,cavanaugh
21231,arca
21221,kode9
21216,logic
21285,f(x)
21241,kurt stenzel
21248,justin bieber
21163,jamie woon
21135,anna von hausswolff
21255,nef the pharaoh
21141,wreckless eric
20916,ty dolla $ign
21261,the pains of being pure at heart
21225,james ferraro
21247,alessia cara
20588,various artists
21218,a tribe called quest
21271,cool uncle
21217,tim hecker
21266,jeff lynne's elo
21273,escort
21157,kurt cobain
21109,le1f
21215,talib kweli
21215,9th wonder
21205,glenn kotche
21205,john luther adams
21276,pinkish black
21253,rustie
21254,frankie cosmos
21272,puff daddy
21203,various artists
21252,kate boy
21264,grimes
21267,connan mockasin
21267,devont hynes
21207,corrections house
21188,trust fund
21249,white widows pact
21108,oneohtrix point never
21232,bjrk
21142,pc worship
21229,special request
21133,the necks
21214,amy winehouse
21262,young thug
21092,van morrison
21132,kirk knight
21191,foxing
21178,bob dylan
21053,beach slang
21180,ellie goulding
21243,carla morrison
21260,julien baker
21220,the velvet underground
21124,fuzz
21177,joshua abrams
21193,white out
21131,ted hearne
21110,floating points
21139,boots
21251,french montana
21251,fetty wap
21056,wolf eyes
21204,laura stevenson
21161,el vy
21100,various artists
21162,pictureplane
21154,mozzy
21176,tropic of cancer
21226,d.r.a.m.
21121,car seat headrest
21175,sun city girls
21130,hieroglyphic being
21130,j.i.t.u. ahn-sahm-buhl
21128,john renbourn
21156,j dilla
21120,patrick cowley
21187,eartheater
21223,basic soul unit
21151,yautja
21155,madlib
21155,m.e.d.
21155,blu
21147,christine and the queens
21119,dave gahan
21119,soulsavers
21081,rabit
21206,long beard
21096,built to spill
21055,the chills
21143,vhl
21196,luke vibert
21183,philip jeck
21091,martin courtney
21224,ty dolla $ign
21222,rival consoles
21106,shining
21211,karamika
21182,!!!
21173,vanessa carlton
21098,franoise hardy
21153,g herbo
21174,dan friel
21125,the promise ring
20980,gun outfit
20859,wax idols
21126,john carpenter
21200,panopticon
21097,joanna newsom
21117,jean-michel jarre
21089,olga bell
21195,dj firmeza
21152,cult leader
21197,beach house
21181,yacht
21172,raury
21116,weyes blood
21171,zombi
20903,the game
21198,sexwitch
21013,the edge of daybreak
21148,zomby
21149,kowloon walled city
21041,neon indian
21202,doughboyz cashout
21199,milo
21150,st germain
21054,windhand
21194,majical cloudz
21088,prins thomas
21018,dj spinn
21032,the mantles
21052,mga
21039,deerhunter
21083,drive-by truckers
21186,kylesa
20979,clutch
21113,cooly g
21086,mogwai
21085,dilly dally
21114,cara stacey
21051,visionist
21185,mild high club
21137,the decemberists
21038,mac miller
21138,alex g
21095,steve hauschildt
21080,young dro
20432,kelela
20966,protomartyr
21105,christian scott
20965,shopping
21020,donato dozzy
21060,janet jackson
21115,eagles of death metal
21028,paul mccartney
21082,ryan hemsworth
21082,lucas
21078,co la
21042,wavves
21044,autre ne veut
21029,girl band
21079,nicole dollanganger
21050,larry gus
21145,run the jewels
21140,battles
21122,various artists
21019,childbirth
21048,moscow club
21022,deafheaven
21166,big grams
21066,david bowie
