  Senegal,1023,1228,1419,1376,1373,1361,1358,1335,1351,1393,1419,1369,1505,1789,1637,1741
  Serbia,4477,5061,5454,6093,6133,6101,6220,6288,6213,6619,6414,6231,6256,6433,5990,5965
  Seychelles,22,27,30,32,32,32,33,34,34,35,35,35,36,36,37,37
  Sierra Leone,439,400,437,473,477,474,474,486,501,517,563,537,534,675,646,669
  Singapore,976,1092,1104,1187,1181,1184,1199,1156,1155,1141,1205,1148,1122,1258,1212,1274
  Solomon Islands,25,29,38,44,45,47,48,49,50,53,51,50,50,54,53,55
  Somalia,729,898,995,922,944,973,1020,1027,1025,1119,1138,1075,1141,1193,1242,1248
  South Africa,8770,10597,15934,17544,18108,18388,18639,18737,18513,17978,17861,17935,18278,18663,18753,18344
  Sri Lanka,2281,2712,3415,3750,3968,4192,4470,4471,4662,5049,5172,5225,5259,5259,3383,2829
  Sudan,3814,4357,4537,5206,5449,5655,5728,5832,5860,6338,6399,6410,6551,7638,7489,7847
  Suriname,93,98,124,154,158,161,163,164,168,178,176,184,184,197,202,204
  South Sudan,890,966,936,1022,1083,1145,1182,1201,1203,1267,1293,1296,1276,1445,1354,1386
  Eswatini,75,90,131,173,178,186,193,200,205,205,213,219,217,218,212,213
  Syrian Arab Republic,4943,5347,5295,5357,5465,5678,6016,6181,6334,6401,6491,6655,6786,7034,7212,7386
  Chinese Taipei,4390,5739,7129,8690,8716,8967,9251,9396,9643,10365,10076,10223,10458,10454,10590,10935
  Tajikistan,2088,2331,1901,1974,2089,2197,2284,2370,2464,2704,2606,2727,2722,2878,2813,2949
  Tanzania,3135,3367,3419,3457,3499,3640,3673,3762,3754,3891,4181,4183,4230,4314,4482,4658
  Thailand,8349,11221,12999,15310,16035,16730,17433,17748,18786,19696,20352,20776,21181,21453,22557,23773
  Timor-Leste,88,88,83,94,98,104,109,112,118,125,126,130,129,136,138,138
  Togo,410,466,532,513,528,537,555,570,585,608,633,611,617,790,793,797
  Tonga,9,10,13,16,16,17,18,18,19,19,18,19,19,19,18,19
  Trinidad and Tobago,638,740,766,782,768,774,809,779,751,735,738,778,791,816,856,885
  Tunisia,2400,3196,3779,3965,4060,4160,4264,4366,4476,4519,4601,4857,4965,5173,5415,5516
  Turkmenistan,2067,2495,2293,2537,2577,2550,2432,2228,2106,2143,2134,2215,2212,2315,2297,2360
  Uganda,1557,1840,2146,2516,2519,2551,2569,2587,2607,2779,2999,3028,3042,3155,3315,3338
  Ukraine,45670,59871,54134,55475,53615,55105,54954,49746,47815,46589,45502,44514,41921,50040,47879,45358
  United Arab Emirates,278,395,526,611,650,702,759,852,938,1042,1158,1287,1410,1606,1757,1944
  Uruguay,1046,1112,1171,1131,1104,1177,1119,1099,1109,1186,1125,1101,1037,1032,1015,1038
  Uzbekistan,6977,8985,9903,12552,12735,13038,13355,13371,13481,14274,14084,14394,14119,14931,14529,15165
  Vanuatu,12,14,17,21,22,23,24,25,26,28,27,27,27,29,29,30
  Venezuela,4161,5001,5283,5948,6286,6636,7054,7248,7251,7614,7966,8223,8566,8763,8365,8770
  Viet Nam,9645,10898,13314,17416,18461,19644,20732,21786,22911,23759,24521,25698,26202,26276,26431,27480
