Year,1950,1950,1960,1960,1970,1970,1980,1980,1990,1990,1995,1995,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019
Domain,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine
Bouvet Island,0,0,0,0,0,0,128.9,0,128.9,0,128.9,0,128.9,0,128.9,0,128.9,0,128.9,0,128.9,0,128.9,0,128.9,0,128.9,0,128.9,0,128.9,0,128.9,0,128.9,0,128.9,0,128.9,0,128.9,0,128.9,0,128.9,0,128.9,0,128.9,0,128.9,0
Brazil,0,0,0.1,0,0.2,0,1.7,0.1,6.7,0.2,8.9,0.8,14.3,1,15.6,1,18.1,1,18.7,1.1,19.7,1.1,20.9,1.2,25.2,1.2,25.8,1.2,26.9,1.5,28.6,1.5,28.9,1.6,28.9,1.6,28.9,1.6,29,1.6,29.1,1.6,29.1,1.6,29.4,1.6,29.4,1.6,29.6,26.4,29.6,26.4
British Indian Ocean Territory,0,0,0,0,0,0,0,0,0,0,0,0,34.9,0.2,34.9,0.3,34.9,0.3,34.9,0.3,34.9,0.3,34.9,0.3,34.9,0.3,34.9,0.3,34.9,0.3,34.9,0.3,100,100.1,100,100.1,100,100.1,100,100.1,100,100.1,100,100.1,100,100.1,100,100.1,100,100.1,100,100.1
British Virgin Islands,0,0,0,0,0.3,0,1.3,0,1.7,0,1.7,0,9.8,0,9.8,0,9.8,0,9.8,0,9.8,0,9.8,0,9.8,0,9.8,0,9.8,0,9.8,0,9.8,0,9.8,0,9.8,0,9.8,0,9.8,0,9.8,0,9.8,0,9.8,0,9.8,0,9.8,0
Bulgaria,0.4,0,0.5,0,1.1,0,1.5,0,2,0,4.3,0,4.5,0,4.6,0,14.6,0.1,15.6,0.3,21.9,0.3,23.6,0.4,36.7,5.4,40.4,6.3,40.4,6.3,40.4,6.3,40.5,6.3,40.5,6.3,40.5,7.9,40.6,7.9,40.6,7.9,40.6,7.9,40.6,7.9,40.6,7.9,40.6,7.9,40.6,7.9
Cayman Islands,0,0,0,0,0,0,0.6,0,4.6,0.1,6.5,0.1,7.5,0.1,7.5,0.1,7.5,0.1,7.5,0.1,7.5,0.1,7.5,0.1,7.5,0.1,7.5,0.1,7.5,0.1,7.5,0.1,7.8,0.1,7.8,0.1,7.8,0.1,8,0.1,8,0.1,8,0.1,8,0.1,8,0.1,8,0.1,8,0.1
China (People's Republic of),0,0,0,0,0,0,0,0,0.1,0,0.2,0,0.2,0,0.2,0,0.3,0.2,0.5,0.2,0.6,0.3,0.6,0.3,0.7,0.3,0.7,0.3,0.7,0.3,0.7,0.3,0.7,0.3,0.7,0.3,0.7,0.3,0.8,0.3,0.8,0.3,0.8,0.4,0.8,0.4,1.3,0.4,1.6,0.4,1.6,0.4
Christmas Islands,0,0,0,0,0,0,0,0,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0,62.1,0
Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
Colombia,0.2,0,0.2,0,0.4,0,3.6,0.2,9.8,0.3,9.8,3.8,10.3,3.8,10.3,3.8,11.3,3.8,11.3,3.8,11.3,3.8,11.7,8,11.9,8,12.3,8,12.6,8,13.9,8,13.9,8.1,14,8.1,14,8.1,14.1,8.3,14.4,8.4,14.7,8.4,14.8,8.4,15,12.4,15,12.4,15,12.4
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,2.8,0,2.8,0,2.8,0,2.8,0,2.8,0,2.8,0,2.8,0,2.8,0,2.8,0,2.8,0,2.8,0,2.8,0,2.8,0,2.8,0,2.8,0,2.8,0,2.9,100,2.9,100,2.9,100
